id,content,shape_name
"2",5.0,Sphere
"3",5.0,Cone
"4",5.0,Cylinder
"6",33.0,Block
"7",666.0,Block
"8",666.0,Block
"9",666.0,Block
"10",666.0,Block
"11",666.0,Block
"12",666.0,Block
"13",666.0,Block
"14",666.0,Block
"17",3.0,Sphere
"18",63888.0,Block
"19",314.0,Cone
"20",5.0,Sphere
"21",5.0,Cone
"22",5.0,Cylinder
"23",33.0,Block
"24",666.0,Block
"25",666.0,Block
"26",666.0,Block
"27",666.0,Block
"28",666.0,Block
"29",666.0,Block
"30",666.0,Block
"31",666.0,Block
"32",3.0,Sphere
"33",63888.0,Block
"34",314.0,Cone
"35",78.0,Block
"36",5.0,Sphere
"37",8.0,Block
"38",6.0,Block
"39",105.0,Block
"40",8.0,Cone
"41",15.0,Cone
"42",10.0,Cone
"43",4.0,Sphere
"44",24.0,null
"45",55.0,Sphere
"46",5808.0,Block
"47",45.0,Cylinder
"49",314.0,Cone
"50",314.0,Cone
"51",314.0,Cone
"52",314.1592653,Cone
"53",3.14,Cone
"54",314.0,Cone
"55",314.16,Cone
"57",2.0,Sphere
"58",392.0,Cone
"59",314.0,Cone
"60",314.16,Cone
"61",666.0,Block
"62",192.0,Pyramid
"63",5.0,Sphere
"64",5.0,Cone
"65",5.0,Cylinder
"66",33.0,Block
"67",666.0,Block
"68",666.0,Block
"69",666.0,Block
"70",666.0,Block
"71",666.0,Block
"72",666.0,Block
"73",666.0,Block
"74",666.0,Block
"75",666.0,Block
"76",1452.0,Block
